date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:11	49879/49879	---M--	200	added ('OK')	image/gif	etag:%226e418b-c2d7-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/dibujo.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/dibujo.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:13	60416/60416	---M--	200	added ('OK')	image/gif	etag:%226e4190-ec00-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/electra.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/electra.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:17	47668/47668	---M--	200	added ('OK')	image/gif	etag:%226e41ad-ba34-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/electro.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/electro.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:18	2730/2730	---M--	200	added ('OK')	image/gif	etag:%226e41ba-aaa-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fondo4.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fondo4.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm)
18:32:18	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:18%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/filelist.xml	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/filelist.xml	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm)
18:32:18	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:18%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/editdata.mso	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/editdata.mso	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm)
18:32:18	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:18%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/image001.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/image001.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm)
18:32:18	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:19%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/image002.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/image002.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm)
18:32:19	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:19%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/image003.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1_archivos/image003.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm)
18:32:19	33710/33710	---M-Z	200	added ('OK')	text/html	etag:%226e417e-83ae-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria1.htm)
